========TRIALS AND THEIR SUMS: ========
Trial No:	Trial:		Sum:
=======================================
1		(5,4)		 9
2		(3,4)		 7
3		(6,5)		 11
4		(2,4)		 6
5		(2,1)		 3
6		(4,1)		 5
7		(4,1)		 5
8		(4,5)		 9
9		(5,6)		 11
10		(3,6)		 9
11		(4,1)		 5
12		(4,6)		 10
13		(6,4)		 10
14		(2,3)		 5
15		(3,2)		 5
16		(2,4)		 6
17		(2,6)		 8
18		(5,3)		 8
19		(4,3)		 7
20		(6,2)		 8
21		(1,6)		 7
22		(5,5)		 10
23		(2,5)		 7
24		(4,1)		 5
25		(1,6)		 7
26		(1,4)		 5
27		(4,2)		 6
28		(6,4)		 10
29		(2,6)		 8
30		(2,3)		 5
31		(1,6)		 7
32		(6,2)		 8
33		(3,6)		 9
34		(2,5)		 7
35		(1,6)		 7
36		(3,3)		 6
37		(1,3)		 4
38		(6,6)		 12
39		(1,3)		 4
40		(5,1)		 6
41		(2,5)		 7
42		(1,1)		 2
43		(6,6)		 12
44		(1,3)		 4
45		(2,3)		 5
46		(3,4)		 7
47		(2,5)		 7
48		(5,2)		 7
49		(2,3)		 5
50		(2,3)		 5
51		(1,1)		 2
52		(4,1)		 5
53		(3,2)		 5
54		(3,1)		 4
55		(3,3)		 6
56		(1,5)		 6
57		(3,3)		 6
58		(1,1)		 2
59		(5,4)		 9
60		(4,3)		 7
61		(1,6)		 7
62		(5,1)		 6
63		(2,6)		 8
64		(4,2)		 6
65		(1,1)		 2
66		(2,3)		 5
67		(3,4)		 7
68		(1,1)		 2
69		(3,6)		 9
70		(6,2)		 8
71		(5,3)		 8
72		(4,5)		 9
73		(6,1)		 7
74		(6,6)		 12
75		(2,5)		 7
76		(4,1)		 5
77		(6,2)		 8
78		(3,1)		 4
79		(3,5)		 8
80		(6,4)		 10
81		(5,5)		 10
82		(4,3)		 7
83		(3,2)		 5
84		(5,6)		 11
85		(1,4)		 5
86		(5,3)		 8
87		(1,1)		 2
88		(1,6)		 7
89		(3,5)		 8
90		(4,6)		 10
91		(2,5)		 7
92		(4,3)		 7
93		(3,4)		 7
94		(4,6)		 10
95		(4,1)		 5
96		(2,2)		 4
97		(1,5)		 6
98		(6,5)		 11
99		(5,3)		 8
100		(4,2)		 6
101		(3,5)		 8
102		(2,6)		 8
103		(2,3)		 5
104		(4,3)		 7
105		(6,3)		 9
106		(3,2)		 5
107		(3,3)		 6
108		(1,2)		 3
109		(3,1)		 4
110		(1,1)		 2
111		(1,1)		 2
112		(1,2)		 3
113		(4,3)		 7
114		(1,4)		 5
115		(6,5)		 11
116		(1,1)		 2
117		(5,4)		 9
118		(2,3)		 5
119		(1,5)		 6
120		(1,2)		 3
121		(6,5)		 11
122		(2,4)		 6
123		(5,6)		 11
124		(3,5)		 8
125		(3,5)		 8
126		(1,6)		 7
127		(5,4)		 9
128		(1,3)		 4
129		(6,5)		 11
130		(4,1)		 5
131		(5,1)		 6
132		(4,5)		 9
133		(2,6)		 8
134		(2,1)		 3
135		(3,3)		 6
136		(6,6)		 12
137		(1,3)		 4
138		(3,1)		 4
139		(2,2)		 4
140		(3,6)		 9
141		(4,2)		 6
142		(1,4)		 5
143		(1,4)		 5
144		(2,3)		 5
145		(1,5)		 6
146		(2,6)		 8
147		(5,2)		 7
148		(6,4)		 10
149		(5,4)		 9
150		(6,4)		 10
151		(6,6)		 12
152		(3,1)		 4
153		(4,4)		 8
154		(5,4)		 9
155		(4,2)		 6
156		(1,5)		 6
157		(3,6)		 9
158		(4,3)		 7
159		(1,1)		 2
160		(6,6)		 12
161		(4,6)		 10
162		(6,6)		 12
163		(4,4)		 8
164		(5,6)		 11
165		(1,6)		 7
166		(1,3)		 4
167		(5,5)		 10
168		(6,3)		 9
169		(6,4)		 10
170		(4,3)		 7
171		(2,6)		 8
172		(3,1)		 4
173		(4,5)		 9
174		(4,1)		 5
175		(1,4)		 5
176		(2,6)		 8
177		(5,5)		 10
178		(6,6)		 12
179		(2,6)		 8
180		(5,3)		 8
181		(3,6)		 9
182		(6,4)		 10
183		(2,3)		 5
184		(1,2)		 3
185		(4,6)		 10
186		(6,3)		 9
187		(2,1)		 3
188		(1,3)		 4
189		(1,6)		 7
190		(2,2)		 4
191		(2,5)		 7
192		(1,4)		 5
193		(2,2)		 4
194		(5,2)		 7
195		(1,1)		 2
196		(6,4)		 10
197		(6,2)		 8
198		(3,5)		 8
